Date,Team 1,FT,HT,Team 2
02/04/2025,Newcastle,2-1,1-0,Brentford
02/04/2025,Southampton,1-1,1-0,Crystal Palace
02/04/2025,Liverpool,1-0,0-0,Everton
03/04/2025,Chelsea,1-0,0-0,Tottenham
05/04/2025,Everton,1-1,0-1,Arsenal
05/04/2025,Crystal Palace,2-1,1-1,Brighton
05/04/2025,Ipswich,1-2,1-0,Wolves
05/04/2025,West Ham,2-2,0-1,Bournemouth
05/04/2025,Aston Villa,2-1,2-0,Nott'm Forest
06/04/2025,Brentford,0-0,0-0,Chelsea
06/04/2025,Fulham,3-2,3-1,Liverpool
06/04/2025,Tottenham,3-1,2-0,Southampton
06/04/2025,Man United,0-0,0-0,Man City
07/04/2025,Leicester,0-3,0-3,Newcastle
12/04/2025,Man City,5-2,2-2,Crystal Palace
12/04/2025,Brighton,2-2,1-1,Leicester
12/04/2025,Nott'm Forest,0-1,0-0,Everton
12/04/2025,Southampton,0-3,0-0,Aston Villa
12/04/2025,Arsenal,1-1,0-0,Brentford
13/04/2025,Chelsea,2-2,0-2,Ipswich
13/04/2025,Liverpool,2-1,1-0,West Ham
13/04/2025,Wolves,4-2,2-0,Tottenham
13/04/2025,Newcastle,4-1,1-1,Man United
14/04/2025,Bournemouth,1-0,1-0,Fulham
16/04/2025,Newcastle,5-0,4-0,Crystal Palace
19/04/2025,Brentford,4-2,1-1,Brighton
19/04/2025,Crystal Palace,0-0,0-0,Bournemouth
19/04/2025,Everton,0-2,0-0,Man City
19/04/2025,West Ham,1-1,0-0,Southampton
19/04/2025,Aston Villa,4-1,1-1,Newcastle
20/04/2025,Fulham,1-2,1-0,Chelsea
20/04/2025,Ipswich,0-4,0-2,Arsenal
20/04/2025,Man United,0-1,0-0,Wolves
20/04/2025,Leicester,0-1,0-0,Liverpool
21/04/2025,Tottenham,1-2,0-2,Nott'm Forest
22/04/2025,Man City,2-1,1-1,Aston Villa
23/04/2025,Arsenal,2-2,2-1,Crystal Palace
26/04/2025,Chelsea,1-0,1-0,Everton
26/04/2025,Brighton,3-2,1-0,West Ham
26/04/2025,Newcastle,3-0,1-0,Ipswich
26/04/2025,Southampton,1-2,1-0,Fulham
26/04/2025,Wolves,3-0,1-0,Leicester
27/04/2025,Bournemouth,1-1,1-0,Man United
27/04/2025,Liverpool,5-1,3-1,Tottenham
01/05/2025,Nott'm Forest,0-2,0-1,Brentford
02/05/2025,Man City,1-0,1-0,Wolves
03/05/2025,Aston Villa,1-0,1-0,Fulham
03/05/2025,Everton,2-2,2-1,Ipswich
03/05/2025,Leicester,2-0,2-0,Southampton
03/05/2025,Arsenal,1-2,1-0,Bournemouth
04/05/2025,Brentford,4-3,2-1,Man United
04/05/2025,Brighton,1-1,1-0,Newcastle
04/05/2025,West Ham,1-1,1-1,Tottenham
04/05/2025,Chelsea,3-1,1-0,Liverpool
05/05/2025,Crystal Palace,1-1,0-0,Nott'm Forest
10/05/2025,Fulham,1-3,1-1,Everton
10/05/2025,Ipswich,0-1,0-1,Brentford
10/05/2025,Southampton,0-0,0-0,Man City
10/05/2025,Wolves,0-2,0-1,Brighton
10/05/2025,Bournemouth,0-1,0-1,Aston Villa
11/05/2025,Newcastle,2-0,1-0,Chelsea
11/05/2025,Man United,0-2,0-1,West Ham
11/05/2025,Nott'm Forest,2-2,1-1,Leicester
11/05/2025,Tottenham,0-2,0-1,Crystal Palace
